substrand_id;indicator_id;weight
40100411 ;401402;1
40100411 ;401403;1
40100412 ;401401;1
40100412 ;401402;1
40100412 ;401403;1
40100413 ;401401;1
40100413 ;401402;1
40100413 ;401403;1
40200101 ;402101;1
40200101 ;402102;1
40200101 ;402103;1
40200101 ;402104;0
40200102 ;402101;1
40200102 ;402102;1
40200102 ;402103;1
40200102 ;402104;0
40200103 ;402101;1
40200103 ;402102;1
40200103 ;402103;1
40200103 ;402104;1
40200104 ;402101;1
40200104 ;402102;1
40200104 ;402103;1
40200104 ;402104;0
40200105 ;402101;1
40200105 ;402102;1
40200105 ;402103;1
40200105 ;402104;1
40200106 ;402101;1
40200106 ;402102;1
40200106 ;402103;1
40200106 ;402104;1
40200107 ;402101;0
40200107 ;402102;1
40200107 ;402103;1
40200107 ;402104;0
40200108 ;402101;0
40200108 ;402102;1
40200108 ;402103;1
40200108 ;402104;1
40200109 ;402101;1
40200109 ;402102;1
40200109 ;402103;1
40200109 ;402104;0
40200110 ;402101;0
40200110 ;402102;1
40200110 ;402103;1
40200110 ;402104;1
40200111 ;402101;1
40200111 ;402102;1
40200111 ;402103;1
40200111 ;402104;0
40200201 ;402201;1
40200201 ;402202;1
40200201 ;402203;1
40200201 ;402204;0
40200201 ;402205;0
40200202 ;402201;1
40200202 ;402202;1
40200202 ;402203;0
40200202 ;402204;0
40200202 ;402205;0
40200203 ;402201;1
40200203 ;402202;0
40200203 ;402203;1
40200203 ;402204;0
40200203 ;402205;0
40200204 ;402201;0
40200204 ;402202;0
40200204 ;402203;0
40200204 ;402204;1
40200204 ;402205;1
40200205 ;402201;1
40200205 ;402202;1
40200205 ;402203;1
40200205 ;402204;0
40200205 ;402205;0
40200206 ;402201;1
40200206 ;402202;1
40200206 ;402203;0
40200206 ;402204;0
40200206 ;402205;0
40200207 ;402201;0
40200207 ;402202;0
40200207 ;402203;0
40200207 ;402204;1
40200207 ;402205;1
40200208 ;402201;1
40200208 ;402202;1
40200208 ;402203;1
40200208 ;402204;0
40200208 ;402205;0
40200209 ;402201;0
40200209 ;402202;0
40200209 ;402203;0
40200209 ;402204;1
40200209 ;402205;1
40200210 ;402201;1
40200210 ;402202;1
40200210 ;402203;0
40200210 ;402204;1
40200210 ;402205;1
40200211 ;402201;1
40200211 ;402202;0
40200211 ;402203;1
40200211 ;402204;0
40200211 ;402205;0
40200301 ;402301;1
40200301 ;402302;1
40200302 ;402301;1
40200302 ;402302;1
40200303 ;402301;0
40200303 ;402302;1
40200304 ;402301;1
40200304 ;402302;1
40200305 ;402301;1
40200305 ;402302;1
40200306 ;402301;1
40200306 ;402302;1
40200307 ;402301;1
40200307 ;402302;1
40200308 ;402301;1
40200308 ;402302;1
40200309 ;402301;1
40200309 ;402302;1
40200310 ;402301;1
40200310 ;402302;1
40200311 ;402301;1
40200311 ;402302;1
40200401 ;402401;1
40200401 ;402402;1
40200401 ;402403;0
40200401 ;402404;0
40200401 ;402405;0
40200401 ;402406;0
40200402 ;402401;1
40200402 ;402402;0
40200402 ;402403;1
40200402 ;402404;0
40200402 ;402405;1
40200402 ;402406;1
40200403 ;402401;1
40200403 ;402402;1
40200403 ;402403;0
40200403 ;402404;0
40200403 ;402405;0
40200403 ;402406;0
40200404 ;402401;1
40200404 ;402402;1
40200404 ;402403;0
40200404 ;402404;0
40200404 ;402405;0
40200404 ;402406;0
40200405 ;402401;1
40200405 ;402402;0
40200405 ;402403;0
40200405 ;402404;0
40200405 ;402405;0
40200405 ;402406;0
40200406 ;402401;1
40200406 ;402402;0
40200406 ;402403;0
40200406 ;402404;0
40200406 ;402405;0
40200406 ;402406;0
40200407 ;402401;1
40200407 ;402402;0
40200407 ;402403;0
40200407 ;402404;0
40200407 ;402405;0
40200407 ;402406;0
40200408 ;402401;1
40200408 ;402402;0
40200408 ;402403;0
40200408 ;402404;0
40200408 ;402405;0
40200408 ;402406;0
40200409 ;402401;1
40200409 ;402402;1
40200409 ;402403;0
40200409 ;402404;0
40200409 ;402405;0
40200409 ;402406;0
40200410 ;402401;1
40200410 ;402402;1
40200410 ;402403;0
40200410 ;402404;0
40200410 ;402405;0
40200410 ;402406;0
40200411 ;402401;1
40200411 ;402402;1
40200411 ;402403;0
40200411 ;402404;0
40200411 ;402405;0
40200411 ;402406;0
40200412 ;402401;1
40200412 ;402402;1
40200412 ;402403;0
40200412 ;402404;0
40200412 ;402405;0
40200412 ;402406;0
40200413 ;402401;1
40200413 ;402402;1
40200413 ;402403;0
40200413 ;402404;0
40200413 ;402405;0
40200413 ;402406;0
40200414 ;402401;1
40200414 ;402402;0
40200414 ;402403;1
40200414 ;402404;0
40200414 ;402405;0
40200414 ;402406;0
40200415 ;402401;1
40200415 ;402402;0
40200415 ;402403;0
40200415 ;402404;1
40200415 ;402405;0
40200415 ;402406;0
40200416 ;402401;1
40200416 ;402402;0
40200416 ;402403;0
40200416 ;402404;0
40200416 ;402405;1
40200416 ;402406;1
40200417 ;402401;1
40200417 ;402402;0
40200417 ;402403;0
40200417 ;402404;0
40200417 ;402405;1
40200417 ;402406;1
40200418 ;402401;1
40200418 ;402402;1
40200418 ;402403;0
40200418 ;402404;0
40200418 ;402405;0
40200418 ;402406;0
40200419 ;402401;1
40200419 ;402402;1
40200419 ;402403;0
40200419 ;402404;0
40200419 ;402405;0
40200419 ;402406;0
40400101 ;404101;1
40400101 ;404102;1
40400101 ;404103;1
40400102 ;404101;1
40400102 ;404102;1
40400102 ;404103;1
40400103 ;404101;1
40400103 ;404102;1
40400103 ;404103;1
40400104 ;404101;1
40400104 ;404102;1
40400104 ;404103;1
40400201 ;404201;1
40400201 ;404202;1
40400201 ;404203;1
40400202 ;404201;1
40400202 ;404202;1
40400202 ;404203;1
40400203 ;404201;1
40400203 ;404202;1
40400203 ;404203;1
40400204 ;404201;1
40400204 ;404202;0
40400204 ;404203;1
40400205 ;404201;1
40400205 ;404202;1
